feature,group,kind,modelled,actionable,role,auc,auc_lo,auc_hi,p,test,odds_ratio,or_lo,or_hi,or_corrected,n_nonrecordable,n_nonrecordable_unconf,n_nonrecordable_conf,q,strength
NS,Sudoscan,continuous,True,False,"Candidate predictor, fixed",0.2807017543859649,0.19608130904183538,0.36364203778677456,1.842371425659194e-06,Mann-Whitney,,,,,,,,1.3510723788167424e-05,0.2192982456140351
CAS,Sudoscan,continuous,True,False,"Candidate predictor, fixed",0.6354251012145749,0.5447790148448044,0.7245006747638326,0.003209370663149467,Mann-Whitney,,,,,,,,0.0058838462157740235,0.13542510121457485
SSA_L,Nerve conduction study,continuous,False,False,Excluded (outcome-definitional),0.07341430499325236,0.03900134952766532,0.11450910931174088,1.3209496536391383e-20,Mann-Whitney,,,,,35.0,0.0,35.0,2.0838185513940707e-19,0.42658569500674764
SSC_L,Nerve conduction study,continuous,False,False,Excluded (outcome-definitional),0.2261808367071525,0.16119601889338733,0.29488866396761126,2.320927495895852e-09,Mann-Whitney,,,,,35.0,0.0,35.0,2.9840496375803812e-09,0.2738191632928475
SPSA_L,Nerve conduction study,continuous,False,False,Excluded (outcome-definitional),0.1360323886639676,0.08689946018893387,0.19453609986504722,1.1870018008933286e-15,Mann-Whitney,,,,,53.0,1.0,52.0,2.6707540520099895e-15,0.3639676113360324
SPSC_L,Nerve conduction study,continuous,False,False,Excluded (outcome-definitional),0.20479082321187583,0.14372300944669367,0.27146423751686904,8.398779623833019e-11,Mann-Whitney,,,,,53.0,1.0,52.0,1.374345756627221e-10,0.2952091767881242
MCV_L,Nerve conduction study,continuous,False,False,Excluded (outcome-definitional),0.18279352226720647,0.12556848852901487,0.2442661943319838,5.289695973031392e-12,Mann-Whitney,,,,,2.0,0.0,2.0,9.521452751456505e-12,0.31720647773279353
DL_L,Nerve conduction study,continuous,False,False,Excluded (outcome-definitional),0.7243589743589743,0.6518859649122807,0.7983181511470985,1.063345735861749e-06,Mann-Whitney,,,,,2.0,0.0,2.0,1.1258954850300872e-06,0.22435897435897434
CMAPANK_L,Nerve conduction study,continuous,False,False,Excluded (outcome-definitional),0.08022941970310392,0.04223346828609986,0.1271356275303643,6.991543412815116e-20,Mann-Whitney,,,,,2.0,0.0,2.0,2.8810526895688763e-19,0.41977058029689607
CMAPKNE_L,Nerve conduction study,continuous,False,False,Excluded (outcome-definitional),0.0747638326585695,0.036302294197031036,0.11700742240215924,2.315353945993412e-20,Mann-Whitney,,,,,2.0,0.0,2.0,2.0838185513940707e-19,0.4252361673414305
FWAVE_L,Nerve conduction study,continuous,False,False,Excluded (outcome-definitional),0.778812415654521,0.7115182186234819,0.8414372469635627,1.3398294125807253e-09,Mann-Whitney,,,,,4.0,0.0,4.0,1.8551484174194659e-09,0.278812415654521
SSA_R,Nerve conduction study,continuous,False,False,Excluded (outcome-definitional),0.08097165991902834,0.04358974358974359,0.12469635627530365,6.153080497741947e-20,Mann-Whitney,,,,,35.0,0.0,35.0,2.8810526895688763e-19,0.4190283400809717
SSC_R,Nerve conduction study,continuous,False,False,Excluded (outcome-definitional),0.23049932523616734,0.16902665317139004,0.2972537112010795,4.122933354276092e-09,Mann-Whitney,,,,,35.0,0.0,35.0,4.94752002513131e-09,0.26950067476383266
SPSA_R,Nerve conduction study,continuous,False,False,Excluded (outcome-definitional),0.12995951417004048,0.08083333333333333,0.18597334682860994,3.972827205538623e-16,Mann-Whitney,,,,,53.0,1.0,52.0,1.0215841385670746e-15,0.3700404858299595
SPSC_R,Nerve conduction study,continuous,False,False,Excluded (outcome-definitional),0.2174089068825911,0.15512145748987854,0.2845529689608637,5.108660129880498e-10,Mann-Whitney,,,,,53.0,1.0,52.0,7.662990194820747e-10,0.28259109311740893
MCV_R,Nerve conduction study,continuous,False,False,Excluded (outcome-definitional),0.149055330634278,0.09419534412955466,0.20938933873144394,2.3192728678480466e-14,Mann-Whitney,,,,,2.0,0.0,2.0,4.638545735696093e-14,0.350944669365722
DL_R,Nerve conduction study,continuous,False,False,Excluded (outcome-definitional),0.6300269905533064,0.5406831983805668,0.7130296896086369,0.0046888783172356055,Mann-Whitney,,,,,2.0,0.0,2.0,0.0046888783172356055,0.13002699055330635
CMAPANK_R,Nerve conduction study,continuous,False,False,Excluded (outcome-definitional),0.09507422402159245,0.05229251012145749,0.1419838056680161,1.3088397134747147e-18,Mann-Whitney,,,,,2.0,0.0,2.0,3.926519140424144e-18,0.40492577597840756
CMAPKNE_R,Nerve conduction study,continuous,False,False,Excluded (outcome-definitional),0.08090418353576248,0.03899460188933873,0.13023954116059375,8.002924137691323e-20,Mann-Whitney,,,,,2.0,0.0,2.0,2.8810526895688763e-19,0.41909581646423755
FWAVE_R,Nerve conduction study,continuous,False,False,Excluded (outcome-definitional),0.7445344129554656,0.674342105263158,0.812419028340081,1.0546819875728104e-07,Mann-Whitney,,,,,8.0,0.0,8.0,1.1865172360194117e-07,0.24453441295546563
