threshold,net_benefit,treat_all,ci_lower,ci_upper
0.15,0.643598615916955,0.6413966656181189,0.5677807486631016,0.7209814407046241
0.155,0.6417745150776825,0.6392747523969243,0.5653869885770338,0.7196785115337152
0.16,0.6399286987522281,0.6371275783040489,0.563267125031831,0.7183600713012478
0.165,0.6380607768420379,0.6349546895513786,0.5611218738992603,0.7170258413653976
0.17,0.6361703498485922,0.6327556214161458,0.5588315830165582,0.7156755363700793
0.17500000000000002,0.6342570085885594,0.630529897909577,0.556453573164803,0.7143088640414844
0.18000000000000002,0.6323203338985262,0.628277031433416,0.5540465631929046,0.7129255249771749
0.185,0.6303598963288606,0.625996522423805,0.5516100193563203,0.7115252124274138
0.19,0.6283752558262362,0.6236878589819767,0.54914339473163,0.7101076120683965
0.195,0.6263659614043245,0.6213505164911814,0.546646128807254,0.708672401767031
0.2,0.6256684491978609,0.6189839572192514,0.5454211229946524,0.7072526737967915
0.20500000000000002,0.6236504893552618,0.6165876299061649,0.5429060303366628,0.7057822957656475
0.21000000000000002,0.6230284979354227,0.6141609693359507,0.5421292222297435,0.7056792797671427
0.215,0.6156544841445553,0.6117033958922307,0.5339078306481829,0.7012841036820056
0.22,0.6082544906074319,0.609214315096668,0.5274749760043878,0.695070615658851
0.225,0.6077281352423668,0.6066931171295498,0.5287217526306711,0.6943246506813869
0.23,0.6019167997777624,0.6041391763316897,0.5217723453017571,0.6884644766997708
0.23500000000000001,0.599874174268638,0.6015518506867987,0.5192758030128273,0.6870539303065254
0.24000000000000002,0.5978046721080778,0.5989304812834224,0.5167464114832536,0.6856248240923163
0.245,0.5974430711477848,0.5962743917554981,0.5157373304529519,0.6860900591422601
0.25,0.5953654188948307,0.5935828877005348,0.5133244206773618,0.684536541889483
0.255,0.5932598786921724,0.5908552560743638,0.5107463302587661,0.6829549940781681
0.26,0.5911258852435324,0.5880907645613528,0.5081334007804595,0.6813520739991328
0.265,0.5928189457601223,0.585288660918913,0.5093673833169632,0.6811924769907962
0.27,0.585378360559666,0.58244817229507,0.5022141235074353,0.671897663174859
0.275,0.5873132952240457,0.5795685045177945,0.5041351650378019,0.676415268301678
0.28,0.5852644087938206,0.5766488413547237,0.5014780154486036,0.6747326203208556
0.28500000000000003,0.5831868666093265,0.5736883437418197,0.49878370292808794,0.6730264388018398
0.29000000000000004,0.5832642916321458,0.5706861489794381,0.4982300218422836,0.6734258492129246
0.295,0.5758334281488224,0.5676413698941859,0.4915234952781886,0.6655127621648272
0.3,0.573720397249809,0.5645530939648586,0.48892284186401824,0.6638846447669978
0.305,0.5739237487015735,0.5614203824106491,0.4862847689762628,0.6629294425422227
0.31,0.5718050065876152,0.5582422692397117,0.483608463148105,0.6611466325660698
0.315,0.566766852726492,0.55501776025606,0.482861352902143,0.6565000585502946
0.32,0.5539477823214848,0.5517458320226486,0.47026580685750236,0.6461308587606165
0.325,0.5517924341453754,0.548425430778372,0.4674143394731631,0.6444939591998415
0.33,0.5496049165935031,0.5450554713065687,0.4645203128741321,0.6428326283023384
0.335,0.5473845040408508,0.5416348357524828,0.46166117164569176,0.6411483253588517
0.34,0.5397828552908767,0.5381623723869713,0.453731161886242,0.6340949602981688
0.34500000000000003,0.5374943870678042,0.5346368943135894,0.451068498183451,0.6323631465077356
0.35000000000000003,0.5351707116412998,0.5310571781160016,0.4483648704236939,0.6306046894282188
0.35500000000000004,0.5328110102391908,0.5274219624424823,0.4456193259544832,0.6288189694482443
0.36,0.5304144385026738,0.5237299465240641,0.44283088235294116,0.6270053475935828
