recall,precision
0.7153846153846154,0.8303571428571429
0.7153846153846154,0.8378378378378378
0.7076923076923077,0.8363636363636363
0.7076923076923077,0.8440366972477065
0.7,0.8425925925925926
0.6923076923076923,0.8411214953271028
0.6846153846153846,0.839622641509434
0.676923076923077,0.8380952380952381
0.6692307692307692,0.8365384615384616
0.6615384615384615,0.8349514563106796
0.6538461538461539,0.8333333333333334
0.6461538461538462,0.8316831683168316
0.6384615384615384,0.83
0.6307692307692307,0.8282828282828283
0.6230769230769231,0.826530612244898
0.6153846153846154,0.8247422680412371
0.6076923076923076,0.8229166666666666
0.6076923076923076,0.8315789473684211
0.6,0.8297872340425532
0.5923076923076923,0.8279569892473119
0.5923076923076923,0.8369565217391305
0.5846153846153846,0.8351648351648352
0.5846153846153846,0.8444444444444444
0.5769230769230769,0.8426966292134831
0.5692307692307692,0.8409090909090909
0.5615384615384615,0.8390804597701149
0.5538461538461539,0.8372093023255814
0.5461538461538461,0.8352941176470589
0.5384615384615384,0.8333333333333334
0.5384615384615384,0.8433734939759037
0.5307692307692308,0.8414634146341463
0.5230769230769231,0.8395061728395061
0.5153846153846153,0.8375
0.5153846153846153,0.8481012658227848
0.5076923076923077,0.8461538461538461
0.5076923076923077,0.8571428571428571
0.5,0.8552631578947368
0.5,0.8666666666666667
0.49230769230769234,0.8648648648648649
0.4846153846153846,0.863013698630137
0.47692307692307695,0.8611111111111112
0.46923076923076923,0.8591549295774648
0.46923076923076923,0.8714285714285714
0.46153846153846156,0.8695652173913043
0.45384615384615384,0.8676470588235294
0.4461538461538462,0.8656716417910447
0.4461538461538462,0.8787878787878788
0.43846153846153846,0.8769230769230769
0.4307692307692308,0.875
0.4230769230769231,0.873015873015873
0.4153846153846154,0.8709677419354839
0.4076923076923077,0.8688524590163934
0.4,0.8666666666666667
0.4,0.8813559322033898
0.3923076923076923,0.8793103448275862
0.38461538461538464,0.8771929824561403
0.3769230769230769,0.875
0.36923076923076925,0.8727272727272727
0.36923076923076925,0.8888888888888888
0.36153846153846153,0.8867924528301887
0.35384615384615387,0.8846153846153846
0.34615384615384615,0.8823529411764706
0.3384615384615385,0.88
0.33076923076923076,0.8775510204081632
0.3230769230769231,0.875
0.3153846153846154,0.8723404255319149
0.3076923076923077,0.8695652173913043
0.3,0.8666666666666667
0.2923076923076923,0.8636363636363636
0.2846153846153846,0.8604651162790697
0.2846153846153846,0.8809523809523809
0.27692307692307694,0.8780487804878049
0.2692307692307692,0.875
0.26153846153846155,0.8717948717948718
0.25384615384615383,0.868421052631579
0.24615384615384617,0.8648648648648649
0.23846153846153847,0.8611111111111112
0.23076923076923078,0.8571428571428571
0.2230769230769231,0.8529411764705882
0.2230769230769231,0.8787878787878788
0.2153846153846154,0.875
0.2076923076923077,0.8709677419354839
0.2,0.8666666666666667
0.19230769230769232,0.8620689655172413
0.18461538461538463,0.8571428571428571
0.17692307692307693,0.8518518518518519
0.17692307692307693,0.8846153846153846
0.16923076923076924,0.88
0.16153846153846155,0.875
0.15384615384615385,0.8695652173913043
0.14615384615384616,0.8636363636363636
0.14615384615384616,0.9047619047619048
0.13846153846153847,0.9
0.13076923076923078,0.8947368421052632
0.12307692307692308,0.8888888888888888
0.11538461538461539,0.8823529411764706
0.11538461538461539,0.9375
0.1076923076923077,0.9333333333333333
0.1,0.9285714285714286
0.09230769230769231,0.9230769230769231
0.09230769230769231,1.0
0.08461538461538462,1.0
0.07692307692307693,1.0
0.06923076923076923,1.0
0.06153846153846154,1.0
0.05384615384615385,1.0
0.046153846153846156,1.0
0.038461538461538464,1.0
0.03076923076923077,1.0
0.023076923076923078,1.0
0.015384615384615385,1.0
0.007692307692307693,1.0
